_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
7843,482A,SEGAR RD,1,2001,N,N,N,N,N,Y,BP,0,0,0,0,0,0,0,0,0,0,0,0,0
7844,482B,ADMIRALTY LINK,1,2002,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
7845,483,ADMIRALTY LINK,16,2003,Y,Y,N,Y,N,N,SB,150,0,0,0,30,120,0,0,0,0,0,0,0
7846,483,CHOA CHU KANG AVE 5,16,1997,Y,Y,N,Y,N,N,CCK,120,0,0,0,75,45,0,0,0,0,0,0,0
7847,483,JURONG WEST ST 41,12,1984,Y,N,N,N,N,N,JW,110,0,0,0,110,0,0,0,0,0,0,0,0
7848,483,PASIR RIS DR 4,12,1989,Y,Y,N,N,N,N,PRC,88,0,0,0,48,40,0,0,0,0,0,0,0
7849,483,SEGAR RD,16,2000,Y,N,N,N,N,N,BP,91,0,0,0,15,54,22,0,0,0,0,0,0
7850,483,TAMPINES ST 43,4,1988,Y,Y,N,Y,N,N,TAP,11,0,0,1,0,5,5,0,0,0,0,0,0
7851,483A,CHOA CHU KANG AVE 5,5,1997,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
7852,484,ADMIRALTY LINK,16,2001,Y,N,N,N,N,N,SB,210,0,0,0,60,150,0,0,0,0,0,0,0
7853,484,CHOA CHU KANG AVE 5,16,1997,Y,N,N,Y,N,N,CCK,120,0,0,0,75,45,0,0,0,0,0,0,0
7854,484,JURONG WEST AVE 1,10,1984,Y,Y,N,N,N,N,JW,143,0,0,106,36,1,0,0,0,0,0,0,0
7855,484,PASIR RIS DR 4,13,1991,Y,N,N,Y,N,N,PRC,90,0,0,0,66,24,0,0,0,0,0,0,0
7856,484,SEGAR RD,16,2000,Y,N,N,N,N,N,BP,91,0,0,0,15,54,22,0,0,0,0,0,0
7857,484,TAMPINES ST 43,4,1988,Y,Y,N,N,N,N,TAP,15,0,0,0,0,6,9,0,0,0,0,0,0
7858,484A,ADMIRALTY LINK,5,2001,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
7859,484A,CHOA CHU KANG AVE 5,16,1997,Y,N,N,Y,N,N,CCK,120,0,0,0,120,0,0,0,0,0,0,0,0
7860,484B,ADMIRALTY LINK,1,2002,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
7861,484B,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,123,0,0,0,78,45,0,0,0,0,0,0,0
7862,484C,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,122,0,0,0,78,44,0,0,0,0,0,0,0
7863,484D,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,122,0,0,0,78,44,0,0,0,0,0,0,0
7864,485,ADMIRALTY LINK,16,2001,Y,N,N,N,N,N,SB,154,0,0,0,154,0,0,0,0,0,0,0,0
7865,485,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,122,0,0,0,78,44,0,0,0,0,0,0,0
7866,485,JURONG WEST AVE 1,12,1983,Y,N,N,N,N,N,JW,110,0,0,65,44,0,0,0,0,0,0,1,0
7867,485,PASIR RIS DR 4,4,1991,Y,N,N,N,N,N,PRC,16,0,0,0,4,12,0,0,0,0,0,0,0
7868,485,SEGAR RD,15,2013,Y,Y,N,N,N,N,BP,166,0,0,110,56,0,0,0,0,0,0,0,0
7869,485A,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,121,0,0,0,77,44,0,0,0,0,0,0,0
7870,485A,TAMPINES AVE 9,12,1992,Y,N,N,N,N,N,TAP,44,0,0,0,0,44,0,0,0,0,0,0,0
7871,485B,CHOA CHU KANG AVE 5,16,1997,Y,N,N,N,N,N,CCK,60,0,0,0,0,60,0,0,0,0,0,0,0
