Month,Value,cpi_lag1,cpi_lag3,cpi_lag6,cpi_lag12,cpi_sma3,cpi_sma6,cpi_sma12,cpi_ema3,cpi_ema6,cpi_ema12
1982-02-01,56.808,57.247,56.689,56.203,52.143,56.91466666666667,56.4315,55.302666666666674,56.79404680998641,56.365587980795354,55.28877180210889
1982-03-01,56.203,56.808,57.247,56.689,52.262,56.75266666666667,56.49683333333334,55.63108333333333,56.49852340499321,56.31913427199668,55.42942229409214
1982-04-01,56.223,56.203,56.808,57.247,53.318,56.41133333333334,56.56216666666666,55.87316666666666,56.3607617024966,56.29166733714049,55.55151117192412
1982-05-01,56.258,56.223,56.203,56.808,54.003,56.22800000000001,56.571333333333335,56.061083333333336,56.30938085124831,56.282048097957485,55.660201760858875
1982-06-01,56.407,56.258,56.223,56.203,54.366,56.296,56.52433333333334,56.231166666666674,56.35819042562415,56.3177486413982,55.77509379764982
1982-07-01,56.257,56.407,56.258,56.223,55.182,56.30733333333333,56.35933333333333,56.320750000000004,56.307595212812075,56.300391886713,55.849233213396
1982-08-01,56.49,56.257,56.407,56.258,55.912,56.38466666666667,56.306333333333335,56.36891666666667,56.398797606406035,56.354565633366434,55.94781271902738
1982-09-01,56.584,56.49,56.257,56.407,55.811,56.44366666666667,56.36983333333333,56.43333333333333,56.49139880320302,56.42011830954745,56.04568768533086
1982-10-01,56.43,56.584,56.49,56.257,55.831,56.50133333333333,56.40433333333334,56.48325,56.46069940160151,56.42294164967675,56.104812656818424
1982-11-01,56.778,56.43,56.584,56.49,56.203,56.59733333333333,56.49099999999999,56.53116666666667,56.619349700800754,56.524386892626254,56.20837994038482
1982-12-01,57.157,56.778,56.43,56.584,56.689,56.788333333333334,56.61600000000001,56.570166666666665,56.888174850400375,56.70513349473303,56.35432148801793
1983-01-01,56.976,57.157,56.778,56.43,57.247,56.970333333333336,56.735833333333325,56.547583333333336,56.93208742520019,56.78252392480931,56.44996433601517
1983-02-01,57.091,56.976,57.157,56.778,56.808,57.074666666666666,56.83599999999999,56.57116666666666,57.011543712600094,56.87065994629236,56.54858520739745
1983-03-01,57.031,57.091,56.976,57.157,56.203,57.03266666666667,56.91049999999999,56.640166666666666,57.02127185630005,56.91647139020883,56.622802867797844
1983-04-01,56.955,57.031,57.091,56.976,56.223,57.025666666666666,56.99799999999999,56.701166666666666,56.98813592815002,56.927479564434876,56.673910118905866
1983-05-01,57.154,56.955,57.031,57.091,56.258,57.04666666666666,57.06066666666667,56.77583333333333,57.07106796407501,56.99219968888205,56.747770100612655
1983-06-01,56.789,57.154,56.955,57.031,56.407,56.966,56.99933333333333,56.80766666666667,56.93003398203751,56.934142634915744,56.75411316205687
1983-07-01,57.002,56.789,57.154,56.955,56.257,56.98166666666666,57.00366666666667,56.86975,56.966016991018755,56.95353045351125,56.7922495986635
1983-08-01,57.042,57.002,56.789,57.154,56.49,56.94433333333334,56.9955,56.91575,57.00400849550938,56.97880746679375,56.83067273733066
1983-09-01,57.25,57.042,57.002,56.789,56.584,57.09799999999999,57.032000000000004,56.971250000000005,57.12700424775469,57.05629104770982,56.89518462389517
1983-10-01,57.128,57.25,57.042,57.002,56.43,57.14000000000001,57.060833333333335,57.02941666666666,57.12750212387735,57.07677931979273,56.931002374065145
1983-11-01,57.653,57.128,57.25,57.042,56.778,57.34366666666667,57.144,57.10233333333333,57.39025106193867,57.241413799851955,57.04207893190127
1983-12-01,57.811,57.653,57.128,57.25,57.157,57.53066666666666,57.31433333333333,57.15683333333334,57.60062553096934,57.40415271417997,57.160374480839536
1984-01-01,58.395,57.811,57.653,57.128,56.976,57.953,57.5465,57.275083333333335,57.99781276548467,57.68725193869998,57.350316868402686
1984-02-01,59.166,58.395,57.811,57.653,57.091,58.45733333333334,57.9005,57.448,58.58190638274233,58.109751384785696,57.62965273480227
1984-03-01,58.581,59.166,58.395,57.811,57.031,58.714,58.12233333333334,57.57716666666666,58.58145319137117,58.2443938462755,57.776013852525
1984-04-01,58.586,58.581,59.166,58.395,56.955,58.77766666666667,58.365333333333325,57.71308333333334,58.58372659568558,58.3419956044825,57.90062710598269
1984-05-01,58.541,58.586,58.581,59.166,57.154,58.56933333333333,58.51333333333333,57.82866666666667,58.56236329784279,58.398854003201784,57.999146012754586
1984-06-01,58.702,58.541,58.586,58.581,56.789,58.60966666666667,58.661833333333334,57.98808333333334,58.632181648921396,58.48546714514413,58.10727739540773
1984-07-01,58.867,58.702,58.541,58.586,57.002,58.703333333333326,58.7405,58.143499999999996,58.7495908244607,58.59447653224581,58.224157796114234
1984-08-01,59.007,58.867,58.702,58.541,57.042,58.858666666666664,58.714,58.30724999999999,58.878295412230344,58.712340380175576,58.344595058250505
1984-09-01,58.612,59.007,58.867,58.702,57.25,58.82866666666666,58.71916666666666,58.42075,58.745147706115176,58.683671700125416,58.385734280058124
1984-10-01,58.583,58.612,59.007,58.867,57.128,58.734,58.71866666666667,58.542,58.66407385305759,58.65490835723244,58.41608285235687
1984-11-01,58.364,58.583,58.612,59.007,57.653,58.519666666666666,58.689166666666665,58.60125,58.51403692652879,58.57179168373746,58.40807010584043
1984-12-01,58.338,58.364,58.583,58.612,57.811,58.428333333333335,58.6285,58.64516666666666,58.4260184632644,58.50499405981247,58.39729008955729
1985-01-01,58.6,58.338,58.364,58.583,58.395,58.434,58.584,58.66225,58.513009231632196,58.53213861415176,58.4284762296254
1985-02-01,58.891,58.6,58.338,58.364,59.166,58.60966666666667,58.56466666666666,58.63933333333333,58.702004615816094,58.634670438679834,58.49963373275995
1985-03-01,59.044,58.891,58.6,58.338,58.581,58.845,58.636666666666656,58.67791666666667,58.873002307908045,58.751621741914164,58.583382389258425
1985-04-01,58.931,59.044,58.891,58.6,58.586,58.95533333333333,58.69466666666667,58.70666666666667,58.90200115395402,58.80287267279583,58.6368620216802
1985-05-01,58.919,58.931,59.044,58.891,58.541,58.964666666666666,58.78716666666667,58.738166666666665,58.91050057697701,58.83605190913988,58.68026786449863
1985-06-01,59.068,58.919,58.931,59.044,58.702,58.97266666666667,58.90883333333333,58.76866666666666,58.989250288488506,58.90232279224277,58.73991896226807
1985-07-01,59.263,59.068,58.919,58.931,58.867,59.083333333333336,59.01933333333333,58.80166666666667,59.126125144244256,59.00537342303055,58.82039296807298
1985-08-01,59.331,59.263,59.068,58.919,59.007,59.220666666666666,59.092666666666666,58.82866666666667,59.22856257212213,59.09840958787896,58.898947896061756
