address,postal,x,y,lat,lon
308B ANG MO KIO AVE 1,562308,29248.5946499519,38589.7120627463,1.3652661423815,103.844538059044
321 ANG MO KIO AVE 1,560321,29712.2350843353,38575.9067748357,1.36514126911853,103.8487041858
307C ANG MO KIO AVE 1,563307,29318.8660419369,38622.3167348057,1.36556100435161,103.845169497182
549 ANG MO KIO AVE 10,560549,30681.2835610705,39463.1144373659,1.37316478582721,103.857411830838
474 ANG MO KIO AVE 10,560474,30748.4567525107,38312.3687072396,1.36275784702216,103.858015323667
404 ANG MO KIO AVE 10,560404,30382.4496344449,38192.9247964099,1.36167767060852,103.854726492538
576 ANG MO KIO AVE 10,560576,30395.7230230756,39268.2355981376,1.37140239598539,103.854845849383
542 ANG MO KIO AVE 10,560542,30510.4482763158,39637.1165099163,1.37473841331656,103.855876768354
577 ANG MO KIO AVE 10,560577,30507.9585530469,39310.8004647959,1.37178732806791,103.855854368773
578 ANG MO KIO AVE 10,560578,30408.5568600483,39311.1697947327,1.37179067644703,103.854961173992
441 ANG MO KIO AVE 10,560441,30320.3262626035,38676.4249629509,1.36605027829032,103.854168309853
346 ANG MO KIO AVE 3,560346,29818.8606554,38792.0371589176,1.36709586875167,103.84966230288
212 ANG MO KIO AVE 3,560212,28923.6335511208,38980.8641569447,1.36880359418469,103.841618072603
202 ANG MO KIO AVE 3,560202,29246.0643070489,38942.5987060331,1.36845752328237,103.844515336938
121 ANG MO KIO AVE 3,560121,29126.1243039668,39080.2353398167,1.36970226464475,103.84343759746
328 ANG MO KIO AVE 3,560328,29619.0524934148,38739.1886237189,1.36661793708764,103.84786688518
211 ANG MO KIO AVE 3,560211,28929.0379298814,39024.3611866981,1.369196965617,103.841666636086
422 ANG MO KIO AVE 3,560422,30064.9888511747,38892.0008073021,1.36799988809778,103.851873942231
302 ANG MO KIO AVE 3,560302,29373.4744485123,38791.3669652212,1.36708983179046,103.845660199054
117 ANG MO KIO AVE 4,560117,28255.0592533173,39524.1712259967,1.3737170825368,103.835610469339
255 ANG MO KIO AVE 4,560255,28145.969263019,39185.5673480611,1.37065487078854,103.834630215787
170 ANG MO KIO AVE 4,560170,28346.4333322113,39555.5342750959,1.37400071781295,103.83643153142
624 ANG MO KIO AVE 4,560624,28743.8101280658,40391.5914363135,1.38156171229824,103.84000226873
114 ANG MO KIO AVE 4,560114,28322.9831815576,39398.3969782479,1.37257962452704,103.836220813247
605 ANG MO KIO AVE 5,560605,28352.6500733867,40182.5890413262,1.37967157676416,103.836487400764
649 ANG MO KIO AVE 5,560649,29164.4697531592,39971.5106561407,1.37776263842074,103.843782193293
154 ANG MO KIO AVE 5,560154,28880.5495885424,39805.4299570732,1.37626067387977,103.841230957516
643 ANG MO KIO AVE 5,560643,28805.5663492633,39943.1613296438,1.3775062692911,103.840557182306
635 ANG MO KIO AVE 6,560635,29008.2464283472,40303.9339026045,1.38076896104696,103.842378423538
639 ANG MO KIO AVE 6,560639,29017.6559877852,40211.6160377115,1.37993407100545,103.84246297225
512 ANG MO KIO AVE 8,560512,29762.4750036253,39402.2856574561,1.3726147414362,103.849155674919
455C ANG MO KIO ST 44,563455,30740.4174549636,38954.4772249032,1.36856484754808,103.857943144204
590A ANG MO KIO ST 51,561590,30285.2483330583,39248.2636020295,1.37122178516983,103.853853154442
226 ANG MO KIO AVE 1,560226,28566.0521922186,38861.9329554923,1.36772803186644,103.838404951621
218 ANG MO KIO AVE 1,560218,28937.4798521483,38573.4500436708,1.36511908595886,103.841742478489
438 ANG MO KIO AVE 10,560438,30291.1992910691,38778.2131956611,1.3669708169506,103.853906591778
329 ANG MO KIO AVE 3,560329,29508.6034101117,38737.103189908,1.3665990830055,103.846874423696
610 ANG MO KIO AVE 4,560610,28649.7688949835,40151.9743075874,1.37939470300077,103.839157232686
619 ANG MO KIO AVE 4,560619,28592.1740977941,40062.7815514784,1.37858807685121,103.838639699065
254 ANG MO KIO AVE 4,560254,28152.3690952277,39135.6504789609,1.37020344042146,103.834687722549
606 ANG MO KIO AVE 5,560606,28380.3196112374,40144.572938066,1.37932777238671,103.83673603156
511 ANG MO KIO AVE 8,560511,29873.5895588184,39507.6652772389,1.37356775015905,103.850154125155
505 ANG MO KIO AVE 8,560505,29879.6521148849,39649.9441116843,1.37485446863611,103.8502086106
620 ANG MO KIO AVE 9,560620,28693.074873223,40488.7996085323,1.38244082944044,103.839546376827
315B ANG MO KIO ST 31,563315,29575.8565392969,38452.7590616439,1.36402757273373,103.847478724527
591A ANG MO KIO ST 51,561591,30072.4230311923,39216.3560924381,1.37093324079314,103.851940766136
588A ANG MO KIO ST 52,561588,30166.5017663063,39342.8156073373,1.37207688864036,103.852786139342
588C ANG MO KIO ST 52,563588,30264.9737479165,39315.6903483681,1.37183157010083,103.853670978083
222 ANG MO KIO AVE 1,560222,28672.496579133,38672.8659020849,1.36601817469807,103.839361424233
460 ANG MO KIO AVE 10,560460,30871.648112135,38708.4084451813,1.36633947709831,103.859122319513
551 ANG MO KIO AVE 10,560551,30820.8244747799,39547.5767919086,1.37392862005901,103.858665713793
259 ANG MO KIO AVE 2,560259,27804.0440792302,38956.3026567344,1.36858148248531,103.831557777899
648 ANG MO KIO AVE 5,560648,29157.5180145344,40024.139324706,1.37823859353841,103.843719728887
501 ANG MO KIO AVE 5,560501,29729.6208931105,39774.9361136612,1.37598486077444,103.848860479053
455B ANG MO KIO ST 44,562455,30801.906954689,38928.5294207707,1.36833017912554,103.858495667837
113 BEDOK NTH ST 2,460113,39325.1157076946,34730.3822050784,1.33036165024598,103.935081017472
