_id,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold,exec_sold,multigen_sold,studio_apartment_sold,one_room_rental,two_room_rental,three_room_rental,other_room_rental
2873,206,WOODLEIGH LINK,2,2022,N,N,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0
2874,206,YISHUN ST 21,4,1984,Y,N,N,N,N,N,YS,32,0,0,24,8,0,0,0,0,0,0,0,0
2875,206A,BOON LAY DR,1,2006,N,N,N,N,N,Y,JW,0,0,0,0,0,0,0,0,0,0,0,0,0
2876,206A,COMPASSVALE LANE,16,1997,Y,N,N,Y,N,N,SK,152,0,0,0,62,90,0,0,0,0,0,0,0
2877,206A,PUNGGOL PL,16,2011,Y,N,N,Y,N,N,PG,375,0,0,0,0,0,0,0,0,285,90,0,0
2878,206A,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,104,0,0,0,104,0,0,0,0,0,0,0,0
2879,206B,COMPASSVALE LANE,16,1997,Y,N,N,Y,N,N,SK,120,0,0,0,30,90,0,0,0,0,0,0,0
2880,206B,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,112,0,0,0,112,0,0,0,0,0,0,0,0
2881,206C,COMPASSVALE LANE,16,1998,Y,N,N,Y,N,N,SK,152,0,0,0,62,90,0,0,0,0,0,0,0
2882,206C,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,90,0,0,28,62,0,0,0,0,0,0,0,0
2883,206D,COMPASSVALE LANE,16,1998,Y,N,N,Y,N,N,SK,90,0,0,0,0,90,0,0,0,0,0,0,0
2884,206D,WOODLEIGH LINK,14,2022,Y,N,N,N,N,N,TP,86,0,17,29,40,0,0,0,0,0,0,0,0
2885,206E,COMPASSVALE LANE,1,1998,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,207,ANG MO KIO AVE 1,11,1975,Y,N,N,N,N,N,AMK,100,0,0,0,100,0,0,0,0,0,0,0,0
2887,207,BISHAN ST 23,16,1990,Y,N,N,N,N,N,BH,72,0,0,0,53,19,0,0,0,0,0,0,0
2888,207,BOON LAY PL,10,1976,Y,N,N,Y,N,N,JW,160,0,0,158,0,2,0,0,0,0,0,0,0
2889,207,BT BATOK ST 21,13,1982,Y,Y,N,N,N,N,BB,115,0,0,68,46,0,0,0,0,0,0,1,0
2890,207,CHOA CHU KANG CTRL,15,1989,Y,Y,N,N,N,N,CCK,54,0,0,0,0,0,54,0,0,0,0,0,0
